modelo,epsilon,seed,rep,Accuracy,F1-Score
Regresión Logística,0.1,42,0,0.5267451940237622,0.5251312362263995
Regresión Logística,0.1,137,1,0.5266432104431187,0.5270475684390988
Regresión Logística,0.1,271,2,0.5167508031206975,0.5166330210159841
Regresión Logística,0.1,314,3,0.5476008362653613,0.5466798527640613
Regresión Logística,0.1,1729,4,0.5268471776044057,0.5251285483150955
Regresión Logística,0.5,42,0,0.5699352404262914,0.5704208465993542
Regresión Logística,0.5,137,1,0.5692723471521085,0.568594855355779
Regresión Logística,0.5,271,2,0.560093824894192,0.5569079268544215
Regresión Logística,0.5,314,3,0.5789097955229208,0.5750341099550161
Regresión Logística,0.5,1729,4,0.5744735097649278,0.5712196096781933
Regresión Logística,1.0,42,0,0.5955331191678139,0.5945848147539259
Regresión Logística,1.0,137,1,0.5975727907806843,0.5943408075361001
Regresión Logística,1.0,271,2,0.5895160879098466,0.5818817080269763
Regresión Logística,1.0,314,3,0.6041507317321911,0.5964002377910083
Regresión Logística,1.0,1729,4,0.6016011422161032,0.5956809178350706
Regresión Logística,5.0,42,0,0.6099128040385497,0.6051905926086156
Regresión Logística,5.0,137,1,0.5956860945387793,0.592954968913704
Regresión Logística,5.0,271,2,0.6046096578450869,0.5956047259859981
Regresión Logística,5.0,314,3,0.600173372087094,0.5944849702992309
Regresión Logística,5.0,1729,4,0.6138901636836469,0.606383389245099
Regresión Logística,10.0,42,0,0.6173066136352048,0.6067072582762576
Regresión Logística,10.0,137,1,0.6175615725868135,0.607864412974607
Regresión Logística,10.0,271,2,0.6175615725868135,0.6063085577489994
Regresión Logística,10.0,314,3,0.6203661210545103,0.6084446463098976
Regresión Logística,10.0,1729,4,0.6176125643771353,0.6069656823426285
Regresión Logística,0.1,2718,5,0.5386772729590535,0.5386151450905023
Regresión Logística,0.1,3141,6,0.5181785732497068,0.5133423023184127
Regresión Logística,0.1,6022,7,0.5129264188465658,0.5121049540158881
Regresión Logística,0.1,8128,8,0.5188414665238896,0.5193912022451022
Regresión Logística,0.1,9999,9,0.5049207077660497,0.5054404601730582
Regresión Logística,0.5,2718,5,0.5736066493294579,0.5738809439590554
Regresión Logística,0.5,3141,6,0.5668757330069859,0.5566359137944644
Regresión Logística,0.5,6022,7,0.5669267247973077,0.5634615545856967
Regresión Logística,0.5,8128,8,0.5768701239100504,0.5764977377527715
Regresión Logística,0.5,9999,9,0.5603487838458008,0.557684064299361
Regresión Logística,1.0,2718,5,0.593646422925909,0.5918383200775466
Regresión Logística,1.0,3141,6,0.6001223802967722,0.5857073780376698
Regresión Logística,1.0,6022,7,0.597215848248432,0.5899095049178122
Regresión Logística,1.0,8128,8,0.6002753556677375,0.5975233832094318
Regresión Logística,1.0,9999,9,0.5949722094742746,0.5868049578249184
Regresión Logística,5.0,2718,5,0.597215848248432,0.5907823989501231
Regresión Logística,5.0,3141,6,0.6072612309418184,0.5950277693238822
Regresión Logística,5.0,6022,7,0.6121054510223854,0.5998182194863637
Regresión Logística,5.0,8128,8,0.6124623935546377,0.6039407163874415
Regresión Logística,5.0,9999,9,0.6017031257967467,0.5919961072385299
Regresión Logística,10.0,2718,5,0.61832644944164,0.6092322002227711
Regresión Logística,10.0,3141,6,0.618938350925501,0.6071942894251603
Regresión Logística,10.0,6022,7,0.611136607006272,0.5991596220053459
Regresión Logística,10.0,8128,8,0.6178675233287441,0.6064932907226274
Regresión Logística,10.0,9999,9,0.6182244658609963,0.6076225959482064
Regresión Logística,0.1,10007,10,0.5263882514915099,0.523738944789547
Regresión Logística,0.1,11113,11,0.5024731018306052,0.498755489391854
Regresión Logística,0.1,13121,12,0.5272551119269797,0.5269956164275663
Regresión Logística,0.1,17171,13,0.5074193054918158,0.5066237024174368
Regresión Logística,0.1,19273,14,0.5125694763143134,0.5119416893659539
Regresión Logística,0.5,10007,10,0.5762072306358677,0.5710513979707742
Regresión Logística,0.5,11113,11,0.5480597623782572,0.5437502946695302
Regresión Logística,0.5,13121,12,0.5631533323134975,0.5607356235730182
Regresión Logística,0.5,17171,13,0.564530110652185,0.5648640920266074
Regresión Logística,0.5,19273,14,0.5527000152975371,0.5531975636934146
Regresión Logística,1.0,10007,10,0.598694610167763,0.5906086451846405
Regresión Logística,1.0,11113,11,0.5850288103615318,0.57684672672266
Regresión Logística,1.0,13121,12,0.587731375248585,0.5814502783083861
Regresión Logística,1.0,17171,13,0.5943093162000918,0.5921084875025757
Regresión Logística,1.0,19273,14,0.5862016215389322,0.5846985849312425
Regresión Logística,5.0,10007,10,0.6056294936515221,0.5941145231709888
Regresión Logística,5.0,11113,11,0.6007852735709551,0.5951055774101108
Regresión Logística,5.0,13121,12,0.6105247055224109,0.5968912710407726
Regresión Logística,5.0,17171,13,0.591300800571108,0.5903201271416721
Regresión Logística,5.0,19273,14,0.5859466625873234,0.5770289443474045
Regresión Logística,10.0,10007,10,0.6171536382642394,0.6078558724865066
Regresión Logística,10.0,11113,11,0.6154709091836215,0.6037830263805768
Regresión Logística,10.0,13121,12,0.6170516546835959,0.6060565212878091
Regresión Logística,10.0,17171,13,0.6200091785222579,0.6114924394820105
Regresión Logística,10.0,19273,14,0.6184794248126052,0.6086718684399806
Regresión Logística,0.1,23131,15,0.5377084289429402,0.5372008484153351
Regresión Logística,0.1,29327,16,0.524042629136709,0.5244721015775208
Regresión Logística,0.1,31193,17,0.5106317882820866,0.5104514543900657
Regresión Logística,0.1,33391,18,0.5207281627657947,0.5212136715064124
Regresión Logística,0.1,37397,19,0.5375554535719749,0.5375458509567005
Regresión Logística,0.5,23131,15,0.5753913619907195,0.5732181545554204
Regresión Logística,0.5,29327,16,0.5625414308296365,0.5620289695051757
Regresión Logística,0.5,31193,17,0.5649380449747591,0.560812944831029
Regresión Logística,0.5,33391,18,0.5656519300392637,0.5643463625809956
Regresión Logística,0.5,37397,19,0.5688644128295345,0.5691080342079297
Regresión Logística,1.0,23131,15,0.5965529549742491,0.5899124918610171
Regresión Logística,1.0,29327,16,0.5899240222324206,0.5872179621577758
Regresión Logística,1.0,31193,17,0.5944112997807353,0.5853473841838427
Regresión Logística,1.0,33391,18,0.5967059303452145,0.5914018273605253
Regresión Logística,1.0,37397,19,0.5899240222324206,0.588127792680095
Regresión Logística,5.0,23131,15,0.611136607006272,0.5995324702178078
Regresión Logística,5.0,29327,16,0.611340574167559,0.604146790919505
Regresión Logística,5.0,31193,17,0.5992045280709806,0.593232657274863
Regresión Logística,5.0,33391,18,0.603742797409617,0.5972705575410281
Regresión Logística,5.0,37397,19,0.6072612309418184,0.6022380054580071
Regresión Logística,10.0,23131,15,0.615980827086839,0.6049048058524716
Regresión Logística,10.0,29327,16,0.617663556167457,0.6065860263692687
Regresión Logística,10.0,31193,17,0.6186833919738922,0.6065670721733278
Regresión Logística,10.0,33391,18,0.6192952934577532,0.6084636410888842
Regresión Logística,10.0,37397,19,0.617663556167457,0.6071925567639713
Naive Bayes (Gaussian),0.1,42,0,0.4813625006373974,0.4807563423538021
Naive Bayes (Gaussian),0.1,137,1,0.5265412268624752,0.5223970353906421
Naive Bayes (Gaussian),0.1,271,2,0.5389322319106624,0.4758949907595763
Naive Bayes (Gaussian),0.1,314,3,0.5288358574269543,0.4020653024198329
Naive Bayes (Gaussian),0.1,1729,4,0.488603334863087,0.4590509597885359
Naive Bayes (Gaussian),0.1,2718,5,0.4849829177502422,0.465313348640979
Naive Bayes (Gaussian),0.1,3141,6,0.5247565142012136,0.482131762061626
Naive Bayes (Gaussian),0.1,6022,7,0.5088980674111468,0.5067052726733182
Naive Bayes (Gaussian),0.1,8128,8,0.4758043954923257,0.4665035115142679
Naive Bayes (Gaussian),0.1,9999,9,0.5008923563306308,0.4993821722843334
Naive Bayes (Gaussian),0.1,10007,10,0.5344959461526694,0.4692833509850128
Naive Bayes (Gaussian),0.1,11113,11,0.468155626944062,0.3252900623763745
Naive Bayes (Gaussian),0.1,13121,12,0.4662179389118352,0.2964895747006266
Naive Bayes (Gaussian),0.1,17171,13,0.5267451940237622,0.5206510406584869
Naive Bayes (Gaussian),0.1,19273,14,0.493243587782367,0.4678505754860147
Naive Bayes (Gaussian),0.1,23131,15,0.5150680740400796,0.5136007824299152
Naive Bayes (Gaussian),0.1,29327,16,0.5245015552496048,0.5228404115474111
Naive Bayes (Gaussian),0.1,31193,17,0.5032379786854316,0.4946214110440981
Naive Bayes (Gaussian),0.1,33391,18,0.505073683137015,0.497765150510332
Naive Bayes (Gaussian),0.1,37397,19,0.5281219723624496,0.5174061930955893
Naive Bayes (Gaussian),0.5,42,0,0.5299066850237112,0.5261919485312334
Naive Bayes (Gaussian),0.5,137,1,0.5177706389271327,0.5083465418127329
Naive Bayes (Gaussian),0.5,271,2,0.5220029575238386,0.5063790043866335
Naive Bayes (Gaussian),0.5,314,3,0.5199632859109683,0.5083405567999447
Naive Bayes (Gaussian),0.5,1729,4,0.5178726225077762,0.5173835061632062
Naive Bayes (Gaussian),0.5,2718,5,0.5195043597980725,0.4793140548224395
Naive Bayes (Gaussian),0.5,3141,6,0.5173627046045587,0.5067576782861067
Naive Bayes (Gaussian),0.5,6022,7,0.500637397379022,0.4964710825998647
Naive Bayes (Gaussian),0.5,8128,8,0.5190454336851766,0.5144229317454114
Naive Bayes (Gaussian),0.5,9999,9,0.5225128754270563,0.5070812120756085
Naive Bayes (Gaussian),0.5,10007,10,0.5250624649431441,0.4992244691878854
Naive Bayes (Gaussian),0.5,11113,11,0.5233797358625262,0.5199641413965014
Naive Bayes (Gaussian),0.5,13121,12,0.5303146193462852,0.5306757528006147
Naive Bayes (Gaussian),0.5,17171,13,0.510325837540156,0.5069363475050569
Naive Bayes (Gaussian),0.5,19273,14,0.5212890724593341,0.5170939454275055
Naive Bayes (Gaussian),0.5,23131,15,0.5282239559430931,0.5067195499011412
Naive Bayes (Gaussian),0.5,29327,16,0.5342919789913824,0.5341677689001328
Naive Bayes (Gaussian),0.5,31193,17,0.5033399622660751,0.4935219260745731
Naive Bayes (Gaussian),0.5,33391,18,0.4913568915404619,0.4849422933957149
Naive Bayes (Gaussian),0.5,37397,19,0.5211870888786906,0.5163757268312988
Naive Bayes (Gaussian),1.0,42,0,0.526133292539901,0.5108610881945128
Naive Bayes (Gaussian),1.0,137,1,0.508439141298251,0.4743770942815939
Naive Bayes (Gaussian),1.0,271,2,0.5255723828463618,0.526014831689566
Naive Bayes (Gaussian),1.0,314,3,0.5124674927336699,0.5086120355916678
Naive Bayes (Gaussian),1.0,1729,4,0.5576462189587477,0.5578851954917345
Naive Bayes (Gaussian),1.0,2718,5,0.5500484422008056,0.5473843263348207
Naive Bayes (Gaussian),1.0,3141,6,0.5312834633623986,0.5111117399694202
Naive Bayes (Gaussian),1.0,6022,7,0.544286369894447,0.5446313319262501
Naive Bayes (Gaussian),1.0,8128,8,0.532456274539799,0.5276515773771687
Naive Bayes (Gaussian),1.0,9999,9,0.5351078476365305,0.5159846259711628
Naive Bayes (Gaussian),1.0,10007,10,0.550201417571771,0.5455565635907457
Naive Bayes (Gaussian),1.0,11113,11,0.5204222120238642,0.5021608521185792
Naive Bayes (Gaussian),1.0,13121,12,0.4868696139921473,0.4035985537355235
Naive Bayes (Gaussian),1.0,17171,13,0.5356687573300699,0.5214570046345326
Naive Bayes (Gaussian),1.0,19273,14,0.5334761103462342,0.5314460114252955
Naive Bayes (Gaussian),1.0,23131,15,0.5224618836367345,0.5182124240694505
Naive Bayes (Gaussian),1.0,29327,16,0.5210341135077252,0.5083330066295243
Naive Bayes (Gaussian),1.0,31193,17,0.5314364387333639,0.5312059793143961
Naive Bayes (Gaussian),1.0,33391,18,0.5315894141043292,0.5321047045376576
Naive Bayes (Gaussian),1.0,37397,19,0.5190964254754984,0.5032078018965157
Naive Bayes (Gaussian),5.0,42,0,0.5842129417163837,0.578791421283575
Naive Bayes (Gaussian),5.0,137,1,0.5434195094589771,0.5343937706439146
Naive Bayes (Gaussian),5.0,271,2,0.5550966294426597,0.5487645531651104
Naive Bayes (Gaussian),5.0,314,3,0.5755443373616848,0.5701469514847843
Naive Bayes (Gaussian),5.0,1729,4,0.5799296313293559,0.5658784571552732
Naive Bayes (Gaussian),5.0,2718,5,0.5716689612972311,0.5663590421147849
Naive Bayes (Gaussian),5.0,3141,6,0.5840089745550966,0.5821029992540848
Naive Bayes (Gaussian),5.0,6022,7,0.5700372240069349,0.5701394036980628
Naive Bayes (Gaussian),5.0,8128,8,0.5748304522971801,0.5700168137331401
Naive Bayes (Gaussian),5.0,9999,9,0.5722808627810922,0.571734946563167
Naive Bayes (Gaussian),5.0,10007,10,0.5866605476518281,0.5681546912183812
Naive Bayes (Gaussian),5.0,11113,11,0.5723828463617358,0.5718153483651979
Naive Bayes (Gaussian),5.0,13121,12,0.588139309571159,0.5832770143667076
Naive Bayes (Gaussian),5.0,17171,13,0.5909438580388557,0.5677916768336667
Naive Bayes (Gaussian),5.0,19273,14,0.5720768956198052,0.5724881683851187
Naive Bayes (Gaussian),5.0,23131,15,0.5653459792973331,0.5639496357499989
Naive Bayes (Gaussian),5.0,29327,16,0.5573912600071389,0.5534146290209949
Naive Bayes (Gaussian),5.0,31193,17,0.5652439957166896,0.5655355280867665
Naive Bayes (Gaussian),5.0,33391,18,0.5724338381520575,0.572914642244439
Naive Bayes (Gaussian),5.0,37397,19,0.5771760746519811,0.5751046449121509
Naive Bayes (Gaussian),10.0,42,0,0.5594309316200092,0.5553993691390199
Naive Bayes (Gaussian),10.0,137,1,0.5743715261842843,0.574067960105241
Naive Bayes (Gaussian),10.0,271,2,0.5703431747488654,0.5686680361694361
Naive Bayes (Gaussian),10.0,314,3,0.5867115394421498,0.5836313428173353
Naive Bayes (Gaussian),10.0,1729,4,0.5942073326194482,0.5859172610734299
Naive Bayes (Gaussian),10.0,2718,5,0.582020294732548,0.5797703094838936
Naive Bayes (Gaussian),10.0,3141,6,0.5837030238131661,0.5839141590431464
Naive Bayes (Gaussian),10.0,6022,7,0.5878333588292285,0.5878517199300045
Naive Bayes (Gaussian),10.0,8128,8,0.5853857528937841,0.5847424690075328
Naive Bayes (Gaussian),10.0,9999,9,0.5852327775228189,0.5842350016993217
Naive Bayes (Gaussian),10.0,10007,10,0.5939013818775177,0.5910714315658768
Naive Bayes (Gaussian),10.0,11113,11,0.5850288103615318,0.5840305438688321
Naive Bayes (Gaussian),10.0,13121,12,0.587527408087298,0.5873754104992436
Naive Bayes (Gaussian),10.0,17171,13,0.5951251848452399,0.5818427867158801
Naive Bayes (Gaussian),10.0,19273,14,0.5607567181683749,0.5539939051817236
Naive Bayes (Gaussian),10.0,23131,15,0.5850288103615318,0.5846750541334673
Naive Bayes (Gaussian),10.0,29327,16,0.5838559991841313,0.5841413648593574
Naive Bayes (Gaussian),10.0,31193,17,0.5506603436846668,0.5400933890287766
Naive Bayes (Gaussian),10.0,33391,18,0.566212839732803,0.5630407258831556
Naive Bayes (Gaussian),10.0,37397,19,0.5905869155066035,0.5873273354501045
